# Rich per-station tariff/technical research table -- superset of plant_ecr.csv.
# Harvested from FY2022-23 SERC/CERC tariff orders, true-up orders, metered fuel
# bills and SLDC merit-order stacks. Schema + rules: docs/plant_tariff_schema.md.
#
# RULES (non-negotiable): every numeric value REAL and traceable to a published
# document; NEVER fabricate or interpolate -- leave blank if a source omits it.
# ecr_rs_per_kwh / energy-charge vintage MUST be FY2022-23. Other technical fields
# may carry a nearby-vintage norm -- note it in basis/flag. One logical row per
# station x source. Sparse by design (blank = not stated in that source).
# Read with comment='#'; treat blanks as NaN.
match_name,unit_group,genco,state,period,basis,ecr_rs_per_kwh,fixed_charge_rs_per_kwh,capacity_charge_rs_cr,station_heat_rate_kcal_per_kwh,aux_consumption_pct,specific_coal_consumption_kg_per_kwh,secondary_oil_ml_per_kwh,transit_loss_pct,gcv_coal_kcal_per_kg,landed_coal_cost_rs_per_tonne,coal_grade,gcv_oil_kcal_per_litre,landed_oil_cost_rs_per_kl,generation_mu,plf_pct,capacity_mw,source,source_file,flag
Kutch Lignite,KLTPS 1-3 & KLTPS 4,GSECL,Gujarat,FY2022-23,approved_order,3.113,,347.52,,12.00,,3.00,0.20,2439,2054,,10561,36142,985.50,75.00,,"GERC Order dtd 30.03.2022 (Case No.2025 of 2021), Table 6.1 'Energy Charges Approved for FY 2022-23': KLTPS 1-3 = 3.189 and KLTPS 4 = 3.036 Rs/kWh (p.141). Station-level value is generation-weighted using REAL approved gross gen Table 5.15 (KLTPS 3 = 492.75 MU, KLTPS 4 = 492.75 MU, equal): (3.189*492.75 + 3.036*492.75)/(492.75+492.75) = 3.113 Rs/kWh. LIGNITE fuel (100%, Table 5.18). Bonus (KLTPS 3/KLTPS 4 identical): SHR 3231/3000 (Table 5.9/5.14); aux 12% (Table 5.7); transit 0.20% (Table 5.13); approved lignite cost 2054 Rs/MT both (Table 5.20); approved GCV lignite 2439 (Table 5.17); SFO 3.0 ml/kWh; GCV oil 10479/10642 (mean 10561), oil cost 35312/36971 (mean 36142); total gross gen 985.50 MU; PLF 75% (Table 5.5); fixed chg Net 146.38 + 201.14 = 347.52 Cr (Table 6.2).",gsecl_gerc_tariff_order_fy2022-23.pdf,LIGNITE fuel; station-level ECR is gen-weighted (equal MU) of KLTPS 1-3 (3.189) & KLTPS 4 (3.036); SHR/oil fields are KLTPS3 & KLTPS4 means; gen-MU is approved-projection
# === Tamil Nadu TANGEDCO -- TNERC Order 7/2022 dtd 09-09-2022, Table 4-47 approved variable cost FY2022-23 (Mettur/Mettur-Ext >Rs4.5 verified genuine) ===
Tuticorin,Tuticorin TPS (5x210),TANGEDCO,Tamil Nadu,FY2022-23,approved_order,3.96,,,2600,8.50,,1.67,,3123.69,4300,,,,4629,55.00,1050,"TNERC Order No.07 of 2022 in T.P.No.1 of 2022 dated 09-09-2022 (TANGEDCO True-Up/ARR/Tariff Order, eff. 10-09-2022): Table 4-47 Approved Energy Charges (Rs/kWh) for Own Generating Stations, FY2022-23 Commission column = 3.96 (p.175). Cross-checks: Table 4-46 Net Gen 4629 MU; Table 4-48 Variable Cost Rs1835 Cr (3.96x4629MU); Table 4-40 PLF 55%; 4-41 Aux 8.50%; 4-42 SHR 2600; 4-43 SFOC 1.67 ml/kWh; 4-44 GCV coal 3123.69; 4-45 coal price Rs4300/MT",tneb_jmk_to_fy2023.pdf,
Mettur,Mettur TPS I (4x210),TANGEDCO,Tamil Nadu,FY2022-23,approved_order,5.00,,,2600,8.50,,0.69,,3162.28,5500,,,,4713,70.00,840,"TNERC Order No.07 of 2022 in T.P.No.1 of 2022 dated 09-09-2022 (TANGEDCO True-Up/ARR/Tariff Order): Table 4-47 Approved Energy Charges (Rs/kWh), FY2022-23 Commission column = 5.00 (p.175). Cross-checks: Table 4-46 Net Gen 4713 MU; Table 4-48 Variable Cost Rs2358 Cr (5.00x4713MU); Table 4-40 PLF 70%; 4-41 Aux 8.50%; 4-42 SHR 2600; 4-43 SFOC 0.69 ml/kWh; 4-44 GCV coal 3162.28; 4-45 coal price Rs5500/MT",tneb_jmk_to_fy2023.pdf,"ECR 5.00 slightly above the Rs4.5 coal sanity ceiling but VERIFIED genuine: Mettur burns the costliest coal of the five stations (Rs5500/MT, highest landed price, coal-distant) and TANGEDCO's own proposed value was 4.71; bottom-up (SHR2600/GCV3162xRs5.5/(1-aux)) reproduces ~5.0."
North Chennai,North Chennai TPS I / NCTPS Stage-I (3x210),TANGEDCO,Tamil Nadu,FY2022-23,approved_order,3.59,,,2489,8.50,,1.79,,3252.52,4200,,,,3282,65.00,630,"TNERC Order No.07 of 2022 in T.P.No.1 of 2022 dated 09-09-2022 (TANGEDCO True-Up/ARR/Tariff Order): Table 4-47 Approved Energy Charges (Rs/kWh), FY2022-23 Commission column 'North Chennai TPS I' = 3.59 (p.175). Cross-checks: Table 4-46 Net Gen 3282 MU; Table 4-48 Variable Cost Rs1180 Cr (3.59x3282MU); Table 4-40 PLF 65%; 4-41 Aux 8.50%; 4-42 SHR 2489; 4-43 SFOC 1.79 ml/kWh; 4-44 GCV coal 3252.52; 4-45 coal price Rs4200/MT",tneb_jmk_to_fy2023.pdf,
North Chennai Extension,NCTPS Stage-II (2x600),TANGEDCO,Tamil Nadu,FY2022-23,approved_order,3.94,,,2597,7.00,,1.10,,3227.94,4500,,,,5866,60.00,1200,"TNERC Order No.07 of 2022 in T.P.No.1 of 2022 dated 09-09-2022 (TANGEDCO True-Up/ARR/Tariff Order): Table 4-47 Approved Energy Charges (Rs/kWh), FY2022-23 Commission column 'NCTPS II' = 3.94 (p.175). NCTPS-II is North Chennai TPS Stage-II 2x600 MW (confirmed in order text 'NCTPS-II (2 x 600 MW)'). Cross-checks: Table 4-46 Net Gen 5866 MU; Table 4-48 Variable Cost Rs2309 Cr (3.94x5866MU); Table 4-40 PLF 60%; 4-41 Aux 7.00%; 4-42 SHR 2597; 4-43 SFOC 1.10 ml/kWh; 4-44 GCV coal 3227.94; 4-45 coal price Rs4500/MT",tneb_jmk_to_fy2023.pdf,match_name 'North Chennai Extension' mapped to NCTPS Stage-II (2x600); the order's 'NCTPS Stage-III' (1x800) had ECR=0/'-' in FY2022-23 (not commissioned) so it is correctly excluded.
Mettur Tps Ext,Mettur TPS II / Mettur Stage-III (1x600),TANGEDCO,Tamil Nadu,FY2022-23,approved_order,4.99,,,2597,7.00,,0.88,,3202.78,5600,,,,2933,60.00,600,"TNERC Order No.07 of 2022 in T.P.No.1 of 2022 dated 09-09-2022 (TANGEDCO True-Up/ARR/Tariff Order): Table 4-47 Approved Energy Charges (Rs/kWh), FY2022-23 Commission column 'Mettur TPS II' = 4.99 (p.175). 'Mettur TPS II' in the order = Mettur Stage-III 1x600 MW (the order labels it interchangeably 'Mettur TPS II'/'Mettur Stage III'). Cross-checks: Table 4-46 Net Gen 2933 MU; Table 4-48 Variable Cost Rs1462 Cr (4.99x2933MU); Table 4-40 PLF 60%; 4-41 Aux 7.00%; 4-42 SHR 2597; 4-43 SFOC 0.88 ml/kWh; 4-44 GCV coal 3202.78; 4-45 coal price Rs5600/MT",tneb_jmk_to_fy2023.pdf,"ECR 4.99 slightly above the Rs4.5 coal sanity ceiling but VERIFIED genuine: highest landed coal price of the five (Rs5600/MT); TANGEDCO proposed 4.62, Commission approved 4.99."
# === Punjab PSPCL -- PSERC Petn 68/2021 dtd 13-Apr-2022, Table 7.7 p.203 approved ECR FY2022-23 ===
Ropar,3-6,PSPCL,Punjab,FY2022-23,approved_order,3.6037,3.0032,664.30,2430,8.50,,0.50,0.80,3911,5237.96,,9705,46445.53,2212,,840,"PSERC Tariff Order for PSPCL FY 2022-23 (Petition No.68 of 2021; True-up FY2020-21, APR FY2021-22, ARR & Tariff FY2022-23), dated 13-Apr-2022. ECR=Energy Charge for GGSSTP from Table 7.7 'Energy Charges for Thermal Generating Station FY 2022-23', p.203 = 360.37 paise/kWh = Fuel Cost Rs.797.14 Cr / 2212 MkWh gross gen. Capacity charge Rs.664.30 Cr from Table 7.6 (AFC), p.202. Fixed charge per kWh = 300.32 paise/kWh on scheduled-energy basis (Table 7.9, p.203). Operational params (SHR/aux/GCV/coal price/oil/transit) from Table 96 'Fuel Cost for GGSSTP and GHTP approved by Commission for FY 2022-23', p.101, and Table 93, p.99.",pspcl_pserc_tariff_order_to_fy2022-23.pdf,"ECR is station-level energy/variable charge only (gross-generation basis), already generation-weighted by Commission. ecr=797.14e7/2212e6=Rs.3.6037/kWh. fixed_charge_rs_per_kwh=300.32 paise (scheduled-energy basis); NAPAF-basis capacity charge is 119.01 paise/kWh. coal price 5237.96 is Commission-approved Price of Coal Rs/MT (Table 96, ex-station, not landed/freight). generation_mu=2212 is net gen (MkWh). PLF not stated in order (computed ~30% net on 840 MW; left blank). specific coal consumption not stated verbatim (computed ~0.625 kg/kWh gross; left blank). GGSSTP=Guru Gobind Singh STP Ropar, 4x210 MW."
Ghtp (Leh.Moh.),1-4,PSPCL,Punjab,FY2022-23,approved_order,3.6824,2.6115,579.28,2430,8.50,,0.50,0.80,3982.14,5483.52,,9767.20,43923.83,2218,,920,"PSERC Tariff Order for PSPCL FY 2022-23 (Petition No.68 of 2021; True-up FY2020-21, APR FY2021-22, ARR & Tariff FY2022-23), dated 13-Apr-2022. ECR=Energy Charge for GHTP from Table 7.7 'Energy Charges for Thermal Generating Station FY 2022-23', p.203 = 368.24 paise/kWh = Fuel Cost Rs.816.82 Cr / 2218 MkWh gross gen. Capacity charge Rs.579.28 Cr from Table 7.6 (AFC), p.202. Fixed charge per kWh = 261.15 paise/kWh on scheduled-energy basis (Table 7.9, p.203). Operational params (SHR/aux/GCV/coal price/oil/transit) from Table 96 'Fuel Cost for GGSSTP and GHTP approved by Commission for FY 2022-23', p.101, and Table 93, p.99.",pspcl_pserc_tariff_order_to_fy2022-23.pdf,"ECR is station-level energy/variable charge only (gross-generation basis), already generation-weighted by Commission across GHTP Units I-IV. Order Table 7.7 states 368.24 paise/kWh; recompute 816.82e7/2218e6=Rs.3.6827/kWh (rounding). fixed_charge_rs_per_kwh=261.15 paise (scheduled-energy basis); NAPAF-basis capacity charge is 96.57 paise/kWh. SHR 2430 for Units I-III, 2387 for Unit IV (Table 96); 2430 reported here for Units I-III. coal price 5483.52 is Commission-approved Price of Coal Rs/MT (Table 96, ex-station, not landed/freight). generation_mu=2218 net gen (MkWh). PLF not stated (computed ~28% net on 920 MW; left blank). specific coal consumption not stated verbatim (computed ~0.61 kg/kWh gross; left blank). GHTP=Guru Hargobind TP Lehra Mohabbat, 2x250+2x210 MW."
# === DVC -- JSERC Order 30-09-2024, Table 38 p.96 approved ECR FY2022-23 (true-up; CERC-regulated gen). Mejia/Mejia-Ext kept separate here; merged in plant_ecr.csv ===
Mejia,MTPS U#1-6,DVC,West Bengal,FY2022-23,approved_order,3.715,,960.46,,,,,,3601,4417,,,,,,1340,"JSERC Order 30-09-2024 (DVC True-up FY2022-23/APR FY2023-24/Tariff FY2024-25, petition dtd 12-12-2023), Table 38 ""Energy charge rate ... approved by the Commission (Rs/kWh)"" p.96: MTPS U#1-3=3.656, U#4=3.741, U#5&6=3.783 (units 1-6); gen-weighted by implied MU (Table 39 EC Rs.Cr / Table 38 ECR) = 3.715 Rs/kWh. AFC=Table 6 p.26 (439.45+141.66+379.35=960.46 Rs.Cr). GCV/landed=Table 11 Q1-FY22-23 p.31 (gen-wtd MTPS1-4 & MTPS5-6).",dvc_jserc_2024a.pdf,ECR=gen-wtd of 3 unit-groups (3.656/3.741/3.783); landed_cost & gcv_coal are Q1-FY22-23 snapshot not annual; cap_mw=630+210+500
