# Plant-level Energy Charge Rate (ECR) override table -- FY2022-23 ONLY.
# REAL, FY2022-23, per-station energy/variable charge (Rs/kWh). Every row traceable
# to a published source. Built by the docs/SCRAPE_ECR_PROMPT.md task; method + raw
# artefacts logged in docs/ecr_scrape_notes.md and saved under data/raw/sources/.
#
# Energy/variable charge ONLY (not fixed/capacity charge). Vintage = FY2022-23.
# columns: match_name,ecr_rs_per_kwh,period,source
match_name,ecr_rs_per_kwh,period,source
Sipat Stps,1.568,FY2022-23,"MahaSLDC DISCOM-wise MOD stack, NTPC Sipat subcritical stage (SSTPS-II, 2x500) CERC Approved Variable Charge Rs/KWh; mean of May-2022 (1.589) & Apr-2023 (1.546) (mahasldc.in via mahagenco.in fuel-data)"
Mouda Stps,4.151,FY2022-23,"MahaSLDC DISCOM-wise MOD stack, NTPC Mouda subcritical stage (MSTPS-I, 2x500) CERC Approved Variable Charge Rs/KWh; mean of May-2022 (4.179) & Apr-2023 (4.123) (mahasldc.in via mahagenco.in fuel-data)"
# --- Rajasthan: RVUN (RRVUNL) state gencos, RERC FY2022-23 generation tariff ----
# Approved "Rate of energy charges" (Rs/kWh) for FY2022-23 = Energy charges / Net
# Generation, from RERC review order RERC/2031/22, Table 3 "Approved tariff for
# FY 2022-23" (review of Order in Petition 1980/22 dated 23.06.2022; energy rate
# unchanged in review). Raw: data/raw/sources/rerc_rvun_review_2031-22_fy2022-23.pdf
Suratgarh,4.220,FY2022-23,"RERC review order RERC/2031/22, Table 3 Approved tariff for FY2022-23, STPS (Units 1-6) Rate of energy charges 4.22 Rs/kWh (Energy 4150.92 Cr / 9837.39 MU); orig Petition 1980/22 dtd 23.06.2022 (cer.iitk.ac.in)"
Kota,3.390,FY2022-23,"RERC review order RERC/2031/22, Table 3 Approved tariff for FY2022-23, KTPS (Units 1-7) Rate of energy charges 3.39 Rs/kWh (Energy 2758.05 Cr / 8145.77 MU); orig Petition 1980/22 dtd 23.06.2022 (cer.iitk.ac.in)"
Chhabra Tps,3.050,FY2022-23,"RERC review order RERC/2031/22, Table 3 Approved tariff for FY2022-23, CTPP (Units 1-4) Rate of energy charges 3.05 Rs/kWh (Energy 1999.10 Cr / 6558.26 MU); orig Petition 1980/22 dtd 23.06.2022 (cer.iitk.ac.in)"
Kalisindh,2.950,FY2022-23,"RERC review order RERC/2031/22, Table 3 Approved tariff for FY2022-23, KaTPP (Units 1-2) Rate of energy charges 2.95 Rs/kWh (Energy 2441.45 Cr / 8266.90 MU); orig Petition 1980/22 dtd 23.06.2022 (cer.iitk.ac.in)"
# --- Haryana: HPGCL state gencos, FY2022-23 ECR per HERC MYT Reg 31 --------------
# Per-station Energy Charge Rate (Rs/kWh) for FY2022-23 from HPGCL's FILED tariff
# petition (Table 38 "Computation of ECR for FY 2022-23" = Table 47 "Tariff Summary
# for FY 2022-23"). These are HPGCL's PROPOSED ECR (energy/variable charge only, per
# HERC MYT Regulation 31); the separate HERC-approved generation order for FY2022-23
# could not be located online this session, so these are PETITION (filed), not
# approved-order, figures -- flagged accordingly. Raw:
# data/raw/sources/hpgcl_tariff_petition_fy2022-23.pdf
Panipat,3.723,FY2022-23,"HPGCL FY2022-23 tariff petition, Table 38/47 proposed ECR (energy charge, HERC MYT Reg 31); gen-wtd over PTPS-6 (1407.29 MU @ 3.812), PTPS-7 & PTPS-8 (1688.38 MU @ 3.686 each) = 3.723 Rs/kWh; FILED petition, not HERC-approved order (hpgcl.org.in)"
Yamunanagar TPP,3.574,FY2022-23,"HPGCL FY2022-23 tariff petition, Table 38/47 proposed ECR (energy charge, HERC MYT Reg 31); DCRTPP Units 1-2 (Yamunanagar) 3.574 Rs/kWh each; FILED petition, not HERC-approved order (hpgcl.org.in)"
Rajiv Gandhi Tps Hisar,3.639,FY2022-23,"HPGCL FY2022-23 tariff petition, Table 38/47 proposed ECR (energy charge, HERC MYT Reg 31); RGTPP Units 1-2 (Hisar/Khedar) 3.639 Rs/kWh each; FILED petition, not HERC-approved order (hpgcl.org.in)"
